请输入物体数目：请输入背包大小：请输入背包：
The max sum_value is: 
3113
The optimum solution is :
ID：75 价值：9.6 重量: 8.07692
ID：148 价值：8.5 重量: 6.93333
ID：148 价值：8.5 重量: 6.93333
ID：148 价值：8.5 重量: 6.93333
ID：148 价值：8.5 重量: 6.93333
ID：148 价值：8.5 重量: 6.93333
ID：148 价值：8.5 重量: 6.93333
ID：148 价值：8.5 重量: 6.93333
ID：148 价值：8.5 重量: 6.93333
ID：148 价值：8.5 重量: 6.93333
ID：148 价值：8.5 重量: 6.93333
ID：148 价值：8.5 重量: 6.93333
ID：288 价值：7.66667 重量: 6.25
ID：288 价值：7.66667 重量: 6.25
ID：288 价值：7.66667 重量: 6.25
ID：288 价值：7.66667 重量: 6.25
ID：288 价值：7.66667 重量: 6.25
ID：105 价值：8.63636 重量: 7
ID：105 价值：8.63636 重量: 7
ID：105 价值：8.63636 重量: 7
ID：105 价值：8.63636 重量: 7
ID：105 价值：8.63636 重量: 7
ID：105 价值：8.63636 重量: 7
ID：105 价值：8.63636 重量: 7
ID：105 价值：8.63636 重量: 7
ID：105 价值：8.63636 重量: 7
ID：105 价值：8.63636 重量: 7
ID：105 价值：8.63636 重量: 7
ID：169 价值：7.8 重量: 6.17647
ID：169 价值：7.8 重量: 6.17647
ID：169 价值：7.8 重量: 6.17647
ID：169 价值：7.8 重量: 6.17647
ID：169 价值：7.8 重量: 6.17647
ID：169 价值：7.8 重量: 6.17647
ID：169 价值：7.8 重量: 6.17647
ID：169 价值：7.8 重量: 6.17647
ID：169 价值：7.8 重量: 6.17647
ID：169 价值：7.8 重量: 6.17647
ID：169 价值：7.8 重量: 6.17647
ID：129 价值：7.2 重量: 5.42105
ID：129 价值：7.2 重量: 5.42105
ID：129 价值：7.2 重量: 5.42105
ID：129 价值：7.2 重量: 5.42105
ID：129 价值：7.2 重量: 5.42105
ID：129 价值：7.2 重量: 5.42105
ID：129 价值：7.2 重量: 5.42105
ID：129 价值：7.2 重量: 5.42105
ID：129 价值：7.2 重量: 5.42105
ID：129 价值：7.2 重量: 5.42105
ID：129 价值：7.2 重量: 5.42105
ID：338 价值：8.9 重量: 6.6875
ID：338 价值：8.9 重量: 6.6875
ID：338 价值：8.9 重量: 6.6875
ID：338 价值：8.9 重量: 6.6875
ID：338 价值：8.9 重量: 6.6875
ID：338 价值：8.9 重量: 6.6875
ID：338 价值：8.9 重量: 6.6875
ID：338 价值：8.9 重量: 6.6875
ID：338 价值：8.9 重量: 6.6875
ID：338 价值：8.9 重量: 6.6875
